file	v1_pre	v2_pre	v1_post	v2_post	p_sys_pre_x	p_sys_pre_y	p_sys_pre_z	p_sys_post_x	p_sys_post_y	p_sys_post_z	p_sys_pre_e	p_sys_post_e	KE_sys_pre	KE_sys_post	dp_x	dp_y	dp_z	dp_e	dKE	rel_dp_x	rel_dp_y	rel_dp_z	rel_dp_e	rel_dp_e_sigma	rel_dp_e_lo	rel_dp_e_hi	rel_dKE	t_collision
A3(1).tsv	0.9465446899799775	150.66341736460862	75.77522952933944	75.83132531809645	-30.192795560663928	-2.829939275819545	-0.20161936807929182	-30.165906136348873	-3.067294359413822	0.14139309075697215	30.321992410917723	30.32131096948718	2270.450426951108	1149.3005348116685	0.02688942431505481	-0.23735508359427682	0.34301245883626397	-0.0006814414305438277	-1121.1498921394395	-0.0008905907457634414	0.08387285395922117	-1.70128724290697	-2.2473504422435916e-05	1.055327763172572e-06	-2.3528832185608488e-05	-2.1418176659263343e-05	-0.4938006480260326	0.644
A3(2).tsv	1.4392849042668718	147.23606284869643	74.29444182450119	74.36669960265286	-29.58157212130511	-3.028160025092534	0.04397801809659777	-29.580707676602085	-2.999205406329435	0.13610560782507633	29.735069550592662	29.73222828543081	2168.264039912354	1105.0809372958902	0.0008644447030263791	0.028954618763099127	0.09212758972847856	-0.0028412651618516804	-1063.1831026164637	-2.922240574238421e-05	-0.009561786207852188	2.0948554235918544	-9.555266575103908e-05	1.076118928843508e-06	-9.662878467988259e-05	-9.447654682219556e-05	-0.490338391932857	1.492
A3(3).tsv	8.507410625332334	188.3991942170555	97.63198072406037	97.67126197099248	-39.1814009333342	-3.9789463221194783	-0.00600985923498553	-38.86721235270249	-3.8872871757509504	0.11165557839807685	39.381320968477574	39.06064853901057	3557.0208021038193	1907.2676800443219	0.31418858063171484	0.0916591463685279	0.11766543763306239	-0.3206724294670025	-1649.7531220594974	-0.008018819469122501	-0.0230360349067749	-19.578734381679023	-0.008142754523741899	8.09266460463287e-07	-0.008143563790202363	-0.008141945257281435	-0.46380193252840746	1.486
A3(4).tsv	-14.302726305347035	183.9496556417504	80.09560893029472	79.82594662448501	-33.605564518729054	-5.11921790083973	-1.3183672642583115	-31.82284190100129	-3.2047243558555816	0.2284291207772657	33.92938586728068	31.984311110955947	3420.165907423138	1278.8755232102915	1.7827226177277637	1.9144935449841483	1.5467963850355773	-1.9450747563247326	-2141.290384212846	-0.05304843537843909	-0.3739816476009167	-1.1732666814249029	-0.057327143023842286	9.165004168576938e-07	-0.057328059524259144	-0.05732622652342543	-0.6260779278471209	1.578
A3(5).tsv	155.6765304832408	-4.313225669408791	78.12106885344424	78.36249420176888	-30.112364108133143	-3.1087088082364795	-0.21253293444819127	-31.138706546015257	-3.1438746907812005	0.17149481331555153	30.272660962766405	31.296712611042626	2425.41738905906	1224.49363711963	-1.0263424378821142	-0.03516588254472097	0.3840277477637428	1.0240516482762203	-1200.92375193943	0.03408375490534488	0.011312054204481767	-1.806909356240769	0.03382760602167559	1.0750869413881948e-06	0.0338265309347342	0.033828681108616976	-0.4951410661755534	1.394
A3(6).tsv	7.867788816611251	171.68188556028636	91.81137355016358	91.52380979047327	-35.71868550359686	-3.759108409502566	-0.24867712254733787	-36.480515280209914	-3.6952994227494136	0.20779354471783618	35.90993487537952	36.66703666812737	2954.5841971223063	1680.7792125204405	-0.7618297766130553	0.06380898675315239	0.45647066726517405	0.7571017927478536	-1273.8049846018657	0.021328606186706935	-0.016974500280931264	-1.8355957419375433	0.021083351873938814	9.005611727604722e-07	0.021082451312766055	0.021084252435111573	-0.43112834145749546	1.098
A3(7).tsv	-16.187948857278496	183.7676315550348	79.28251972825876	78.8477022541235	-33.15010654798427	-5.549436230813904	-1.6251566715437222	-31.467939785010145	-3.1546689390331584	0.22471613294274703	33.51593653955126	31.626044396476452	3427.3122025173366	1250.4025970164535	1.682166762974127	2.3947672917807457	1.8498728044864692	-1.8898921430748103	-2176.909605500883	-0.050743932317056546	-0.4315334373036879	-1.1382735196412117	-0.05638786613778789	9.282413666710014e-07	-0.05638879437915456	-0.05638693789642121	-0.6351652481212416	1.73
A3(8).tsv	-12.348206979677405	180.03564696150633	85.75323753225719	85.47342699240609	-33.366908754417516	-3.410040293439048	-0.2084238446942211	-34.07123320956275	-3.4495435747821936	0.14482670619935234	33.53748799636578	34.24533290493265	3257.1809755659556	1466.0902475292996	-0.7043244551452332	-0.03950328134314551	0.35325055089357343	0.7078449085668694	-1791.090728036656	0.021108471879403158	0.011584403099033823	-1.6948663019426966	0.021106080116780765	9.642779595190605e-07	0.021105115838821246	0.021107044394740284	-0.5498898407772514	1.158
A3(9).tsv	174.33341595465888	-1.6852062863273019	86.74522207280646	86.68994487990449	-34.34932882972902	-3.523689966416374	-0.0712781860448605	-34.50843197290559	-3.517477077891958	0.18125472609368745	34.52964193366631	34.68703339054219	3039.5057924915063	1504.1287444713882	-0.15910314317657281	0.006212888524415927	0.25253291213854795	0.15739145687587808	-1535.377048020118	0.004631914176991736	-0.0017631768355416619	-3.5429200173473943	0.004558154908708214	9.288545029854161e-07	0.004557226054205228	0.004559083763211199	-0.5051403592692474	1.244
A3(10).tsv	-15.438238231528734	174.52726791773608	65.71225272720623	65.52372024803516	-31.252903329481374	-7.563484165128878	-3.434253596633862	-26.111756409474772	-2.683700063702006	-0.04747453453664868	31.817805937241474	26.24719459504828	3152.025884040096	861.2914675499726	5.141146920006602	4.879784101426871	3.3867790620972134	-5.570611342193192	-2290.7344164901233	-0.1645014181820629	-0.6451767459135974	-0.9861761709784096	-0.1750784247405637	9.218992090322875e-07	-0.17507934663977273	-0.17507750284135468	-0.7267498747675206	1.06
