file	dp_u_kgm_s	dp_v_kgm_s	dp_e_kgm_s	dp_E_J	dp_L_n_kgm2_s	p_pre_mag	KE_pre_tot_J	KE_post_tot_J	L_pre_n_kgm2_s	L_post_n_kgm2_s	omega_pre_mean_rad_s	omega_post_mean_rad_s	omega1_pre_rad_s	omega2_pre_rad_s	omega1_post_rad_s	omega2_post_rad_s	v1_pre_u	v1_pre_v	v2_pre_u	v2_pre_v	v1_post_u	v1_post_v	v2_post_u	v2_post_v
B2(1).tsv	-0.27983974816480117	-0.2057892369640193	-0.007281364551700149	-0.0014235962288234793	-15.59037733080578	11.146422184697212	0.004346415412923221	0.0029228191840997416	272.6641543948485	257.0737770640427	5.9773053233659965	8.269260371004256	6.520758379081191	5.433852267650803	6.285305850895457	10.253214891113055	-281.97101934678346	685.2579529852305	-15.241401824718777	-7.453509762547277	-162.36277898303194	610.0800618146163	-120.62734167434257	65.98895866147689
B2(2).tsv	0.019067656286918755	-0.09035091117119975	-0.002988876763051162	-0.0006097857985398959	-9.520444608328816	6.57742374547693	0.001511802955329362	0.0009020171567894661	89.85988327920246	80.33943867087365	3.7578165618223416	3.175274060683331	3.7983151917249693	3.717317931919714	3.567520659961579	2.7830274614050836	-262.0350685012982	348.0935192724908	-6.430986359182482	-3.556375226607302	-101.39738654937855	253.59024428660507	-172.84736544919747	91.01974174566612
B2(3).tsv	-0.1332854400962984	-0.019338308942329796	-0.13424660781004732	-0.0009078879762691682	7.7482611954444565	5.35200615977717	0.001456026157113016	0.0005481381808438478	-76.71326780454186	-68.9650066090974	-2.7208604469965687	-1.9841728086143955	-6.449491519869952	1.0077706258768142	-2.5161466908069867	-1.4521989264218043	-2.7684926743758447	-61.37702249695336	-179.87204612321537	382.83363576926394	-30.268249576509227	163.34743469345256	-140.2552375999292	148.99883532942965
B2(4).tsv	0.010476634443755906	-0.04248150178606913	-0.006957966566611549	-0.000563205171135667	-3.6006448540022404	6.257265765946258	0.0015008315550987235	0.0009376263839630564	153.660698256805	150.06005340280277	2.9160027000367723	4.195171951651767	0.3983426182245754	5.43366278184897	3.874537312698868	4.515806590604667	-63.07962792356467	428.53211715058455	13.900290053197741	-16.598679009776568	44.59754108592068	309.25060715028917	-95.83710957235058	107.63232458616946
B2(5).tsv	0.048514999046257	-0.043190508638423	0.0015224226071445732	-0.0018621288215169977	-15.225048078156917	9.786483258683129	0.0037087904430678615	0.0018466616215508638	134.78187650097277	119.55682842281585	5.932870592585687	4.145394243212696	6.238309483435858	5.627431701735516	3.456656239884097	4.8341322465412935	-50.85090909091397	679.4627272727195	3.5360139860095403	-32.49088578088859	76.731479092987	385.4059333115389	-128.27986061993238	271.15492377188053
B2(6).tsv	0.08085691760234326	-0.10413454880083606	-0.0011750754911002692	-0.0011166618635287066	-11.60498953320456	9.887939279583088	0.0031591058962268884	0.002042444032698182	172.6335147388302	161.02852520562564	3.1738052756421844	5.191321462431959	2.368198021945263	3.979412529339106	5.39712780076546	4.985515124098457	-140.95839579184812	625.4408175577305	-10.195381734967857	14.054389729264203	1.3260824987399644	447.19944158816145	-160.2403533537406	196.00021991738402
B2(7).tsv	-0.0846989214894085	-0.1497506031086644	-0.02304986965437382	-0.0005262894459542951	-30.805212831443583	7.406396993328815	0.0019551926629495895	0.0014289032169952944	228.94695274878018	198.1417399173366	3.187954620460272	7.057818891142205	1.3217881895463093	5.054121051374235	3.781177031793332	10.334460750491077	-68.22673719872644	494.4074858093847	-11.095439983355723	-9.321682962346076	-56.62007489078553	452.90668875746417	-17.982860114713276	30.910126303902643
B2(8).tsv	-0.24350265821859693	-0.2611666331558702	0.0007741996483337579	-0.0004451874514674846	12.802414474736509	10.27599449194163	0.0038509333250857274	0.003405745873618243	349.25469882552454	362.05711330026105	4.696428473110542	10.08446754407633	3.8291223224288276	5.563734623792256	10.62976836408386	9.539166724068801	-38.18683754841226	701.1466154021388	22.688222829799535	-19.689506721352597	-175.66023923445073	667.2269383934115	175.77539837736614	9.247113435767346
B2(9).tsv	0.009359865891526375	-0.17204228400241828	-0.038159681500181855	-0.0008356614963861263	-19.006084672999947	9.305019222560883	0.0029346454580506083	0.002098983961664482	219.1790403012147	200.17295562821477	3.789776227132215	6.304997442755939	3.008833819829978	4.570718634434452	6.4855298351564965	6.12446505035538	-402.5017869773457	464.79428511991887	-13.173001277910013	-7.51781449672477	-252.79801004487703	414.6680772088304	-170.34876133020379	39.281289488542484
B2(10).tsv	-0.02218116323223196	-0.14731646139258103	-0.03181815993937562	-0.00048662995189846167	0.3875839413871631	11.136344441878283	0.004782302734551087	0.004295672782652625	397.8006825752608	398.18826651664796	7.447364920296942	11.4696195477596	6.743225718494854	8.15150412209903	11.569790482576288	11.36944861294291	-245.28065529436356	728.3592840797635	32.03396802281794	-21.40294927040932	-401.5030684418576	667.6864614104414	184.88336503313496	42.48755713394178
