file	dp_u_kgm_s	dp_v_kgm_s	dp_e_kgm_s	dp_E_J	dp_L_n_kgm2_s	p_pre_mag	KE_pre_tot_J	KE_post_tot_J	L_pre_n_kgm2_s	L_post_n_kgm2_s	omega_pre_mean_rad_s	omega_post_mean_rad_s	omega1_pre_rad_s	omega2_pre_rad_s	omega1_post_rad_s	omega2_post_rad_s	v1_pre_u	v1_pre_v	v2_pre_u	v2_pre_v	v1_post_u	v1_post_v	v2_post_u	v2_post_v
B1(1).tsv	-0.01702098959827847	-0.05916045442650075	-0.022718675562432733	-0.0004318811486783876	0.41892607633417356	4.315667460394679	0.0011796545758377347	0.0007477734271593471	119.51986125392054	119.93878733025471	4.995066455634991	3.8572378461468544	3.9658715777393567	6.024261333530624	3.148613107952757	4.565862584340952	233.88627507503193	280.16721982822963	1.8013370382358862	-109.50047103926808	216.69507979434516	-34.17721893667047	18.516910160776096	214.02454991232983
B1(2).tsv	-0.12870318515401968	-0.37747743531747346	-0.0676640558560372	-0.0013022455249706109	-17.989469178659576	9.186255190904507	0.0032596283146412797	0.001957382789670669	89.38718823288654	71.39771905422697	-4.417375969950911	-1.95705589784089	-6.8971099081357625	-1.9376420317660603	-3.918386113178561	0.004274317496780963	22.05681818181091	-17.97590909091791	77.38113636362938	662.4507575757563	-146.37677672442507	347.9289931350102	243.8542328152357	254.20398466521607
B1(3).tsv	-0.018669426342581286	-0.018471775565463755	0.02140947971708725	-0.00018751188459047288	0.09590391903334705	2.7951230849794175	0.0004515442770311196	0.0002640323924406467	34.52159238824852	34.61749630728187	-1.0955777040007675	0.46031643314674975	1.9966259246620213	-4.1877813326635565	3.4863524633652503	-2.565719597071751	19.721778953311464	-57.39858955689436	124.9466195132108	194.46628042438218	-3.757084608756567	84.42110582780899	148.10051086213414	45.30164938036777
B1(4).tsv	0.08407378448514391	-0.2958047331800726	-0.002465218708090064	-0.0007006699441172016	2.453051493316252	6.459961179105134	0.002262785674394177	0.0015621157302769754	145.4482239791409	147.90127547245714	8.880393296415743	6.107866799575687	8.868651986637209	8.892134606194276	6.143086973992121	6.072646625159254	51.57062937064168	-56.10859140858455	-7.458041958032808	514.2949050949087	-183.46937085797705	283.9515495259862	243.5463401586934	138.7850607744645
B1(5).tsv	0.011702107952711094	-0.12942240582186315	0.028850169068917596	-0.0002810336708430354	-6.939272899575045	5.905497897877799	0.0015425461051026068	0.0012615124342595715	-118.74446680948951	-125.68373970906455	-7.916340130785716	-6.584726955439585	-7.557229326458691	-8.275450935112742	-6.185807179071688	-6.9836467318074815	-20.68246069719713	-10.031742993851054	-117.84489063567631	405.40511619959227	46.86859193438276	326.46454664328877	-189.1003928794306	45.41094148414418
B1(6).tsv	0.1906701973313336	-0.25964724856604704	-0.0709941348331346	-0.0001912866302031446	4.130393949061272	4.807225266831826	0.002020120892832782	0.0018288342626296373	148.77652892223995	152.90692287130122	11.221030706774107	10.036265237132575	14.679258622410051	7.762802791138162	12.89901069159801	7.173519782667141	68.41348687925122	-78.32714790930028	-89.86369520639114	422.0260301940613	-235.52167820737853	285.72147998454705	213.4821721299297	24.071272846146215
B1(7).tsv	0.03068403246756457	-0.07203770933020692	-0.016744440704029098	-0.0007509842169697257	6.891162430697875	14.345962504553908	0.006346095428320742	0.005595111211351016	-51.330017958874464	-44.43885552817659	12.529653551039	9.763721139310299	13.137449653754109	11.921857448323891	10.35259030583038	9.174851972790218	3.8083333333419898	147.21666666666678	-418.6785714285717	775.5660714285831	31.41964912281077	680.8955604921443	-449.6410093415331	214.06838004101382
B1(8).tsv	-0.13325975110083865	-0.03876295127369822	-0.04373360594208997	-0.0002664647109362403	-0.9166487924580053	5.890964014655652	0.001950002961936114	0.0016835382509998737	87.51108831089729	86.59443951843929	0.046110138218803165	0.25746459397066745	8.164806317364192	-8.072586040926586	8.289426023579239	-7.774496835637904	23.315628224968158	-55.33120485036469	-197.6562693498501	437.7884545923647	-312.06160955749067	194.673030996466	161.4433864305033	174.39659514398812
B1(9).tsv	0.23029095384711828	0.25983883773661276	-0.009842307349399768	-0.0005879877792067689	-17.30959745254833	8.97109498314893	0.0027548339632419965	0.0021668461840352276	106.76382155327457	89.45422410072624	4.659929974880902	3.4324589831610375	14.503773186353412	-5.183913236591607	12.756867697048774	-5.891949730726699	33.06510862135609	92.536444768047	-161.17560105798108	527.0085767779132	-191.36695563018353	327.5106029896888	56.47407203780004	300.463804570713
B1(10).tsv	-0.004517093464893929	0.010768536955002794	0.006126806948201391	-0.0009425486627829037	-0.6781448916793664	5.567638863557024	0.0019384354122172556	0.000995886749434352	76.29925635176002	75.62111146008066	5.390288273063545	1.9626130973665057	13.494974150515112	-2.7143976043880222	9.381354310301337	-5.456128115568325	31.991315640881837	-51.519239501917646	-280.801074623318	361.4160744747266	-233.0962581354567	154.8356908080463	-4.1128173199796665	147.04380932568642
