file	dp_u_kgm_s	dp_v_kgm_s	dp_e_kgm_s	dp_E_J	dp_L_n_kgm2_s	p_pre_mag	KE_pre_tot_J	KE_post_tot_J	L_pre_n_kgm2_s	L_post_n_kgm2_s	omega_pre_mean_rad_s	omega_post_mean_rad_s	omega1_pre_rad_s	omega2_pre_rad_s	omega1_post_rad_s	omega2_post_rad_s	v1_pre_u	v1_pre_v	v2_pre_u	v2_pre_v	v1_post_u	v1_post_v	v2_post_u	v2_post_v
B1(1).tsv	-0.01702099	-0.05916045	-0.02271868	-0.0004318811	0.4189261	4.315667	0.001179655	0.0007477734	119.5199	119.9388	4.995066	3.857238	3.965872	6.024261	3.148613	4.565863	233.8863	280.1672	1.801337	-109.5005	216.6951	-34.17722	18.51691	214.0245
B1(2).tsv	-0.1287032	-0.3774774	-0.06766406	-0.001302246	-17.98947	9.186255	0.003259628	0.001957383	89.38719	71.39772	-4.417376	-1.957056	-6.89711	-1.937642	-3.918386	0.004274317	22.05682	-17.97591	77.38114	662.4508	-146.3768	347.929	243.8542	254.204
B1(3).tsv	-0.01866943	-0.01847178	0.02140948	-0.0001875119	0.09590392	2.795123	0.0004515443	0.0002640324	34.52159	34.6175	-1.095578	0.4603164	1.996626	-4.187781	3.486352	-2.56572	19.72178	-57.39859	124.9466	194.4663	-3.757085	84.42111	148.1005	45.30165
B1(4).tsv	0.08407378	-0.2958047	-0.002465219	-0.0007006699	2.453051	6.459961	0.002262786	0.001562116	145.4482	147.9013	8.880393	6.107867	8.868652	8.892135	6.143087	6.072647	51.57063	-56.10859	-7.458042	514.2949	-183.4694	283.9515	243.5463	138.7851
B1(5).tsv	0.01170211	-0.1294224	0.02885017	-0.0002810337	-6.939273	5.905498	0.001542546	0.001261512	-118.7445	-125.6837	-7.91634	-6.584727	-7.557229	-8.275451	-6.185807	-6.983647	-20.68246	-10.03174	-117.8449	405.4051	46.86859	326.4645	-189.1004	45.41094
B1(6).tsv	0.1906702	-0.2596472	-0.07099413	-0.0001912866	4.130394	4.807225	0.002020121	0.001828834	148.7765	152.9069	11.22103	10.03627	14.67926	7.762803	12.89901	7.17352	68.41349	-78.32715	-89.8637	422.026	-235.5217	285.7215	213.4822	24.07127
B1(7).tsv	0.03068403	-0.07203771	-0.01674444	-0.0007509842	6.891162	14.34596	0.006346095	0.005595111	-51.33002	-44.43886	12.52965	9.763721	13.13745	11.92186	10.35259	9.174852	3.808333	147.2167	-418.6786	775.5661	31.41965	680.8956	-449.641	214.0684
B1(8).tsv	-0.1332598	-0.03876295	-0.04373361	-0.0002664647	-0.9166488	5.890964	0.001950003	0.001683538	87.51109	86.59444	0.04611014	0.2574646	8.164806	-8.072586	8.289426	-7.774497	23.31563	-55.3312	-197.6563	437.7885	-312.0616	194.673	161.4434	174.3966
B1(9).tsv	0.230291	0.2598388	-0.009842307	-0.0005879878	-17.3096	8.971095	0.002754834	0.002166846	106.7638	89.45422	4.65993	3.432459	14.50377	-5.183913	12.75687	-5.89195	33.06511	92.53644	-161.1756	527.0086	-191.367	327.5106	56.47407	300.4638
B1(10).tsv	-0.004517093	0.01076854	0.006126807	-0.0009425487	-0.6781449	5.567639	0.001938435	0.0009958867	76.29926	75.62111	5.390288	1.962613	13.49497	-2.714398	9.381354	-5.456128	31.99132	-51.51924	-280.8011	361.4161	-233.0963	154.8357	-4.112817	147.0438
