FILE_VERSION	2.0.0
NO_OF_FRAMES	175
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-11-17, 13:28:25.846	311093.04781030
DATA_INCLUDED	3D
MARKER_NAMES	ed2	New 0001	cm2	New 0003	ed1	cm1
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
320.024	268.651	-14.841	340.577	299.980	-14.995	330.922	284.714	-15.040	366.283	279.363	-14.511	403.975	269.780	-14.680	386.203	275.121	-14.685
319.870	268.310	-14.869	338.501	300.816	-14.993	329.783	284.990	-15.055	363.020	282.837	-14.535	401.092	274.902	-14.724	383.111	279.463	-14.676
318.520	268.304	-14.804	334.722	302.121	-15.060	327.165	285.706	-15.010	361.138	285.616	-14.680	399.605	279.887	-14.598	381.361	283.451	-14.671
317.791	268.300	-14.874	331.503	303.174	-15.137	325.136	286.253	-15.032	358.884	288.496	-14.719	397.597	284.937	-14.762	379.225	287.416	-14.825
316.919	268.363	-14.852	328.274	304.100	-15.127	323.042	286.778	-15.076	356.711	291.427	-14.686	395.558	290.038	-14.793	377.070	291.430	-14.798
316.313	268.557	-14.800	325.172	304.997	-15.090	321.188	287.394	-15.133	354.400	294.189	-14.634	393.292	294.951	-14.863	374.746	295.444	-14.911
315.804	268.835	-14.913	322.169	305.831	-15.077	319.372	287.943	-15.083	352.099	296.963	-14.559	390.835	300.114	-14.757	372.291	299.364	-14.859
315.363	269.172	-14.784	319.269	306.553	-15.060	317.663	288.686	-15.037	349.758	299.719	-14.659	388.257	305.027	-14.896	369.750	303.236	-14.687
315.067	269.700	-14.874	316.501	307.325	-15.039	316.062	289.154	-15.067	347.420	302.404	-14.717	385.493	310.046	-14.879	367.192	307.124	-14.911
314.861	270.365	-14.882	313.882	307.896	-15.076	314.570	289.842	-14.972	345.026	305.025	-14.694	382.573	315.029	-14.957	364.390	310.996	-14.811
314.652	271.136	-14.877	311.428	308.545	-15.162	313.227	290.679	-15.157	342.608	307.601	-14.680	379.432	319.993	-14.946	361.628	314.776	-14.949
314.528	272.048	-14.905	309.039	309.187	-15.219	311.946	291.493	-15.130	340.250	310.132	-14.747	376.148	324.931	-15.020	358.703	318.604	-14.897
314.482	273.062	-14.903	306.765	309.877	-15.177	310.730	292.314	-15.077	337.823	312.668	-14.778	372.665	329.786	-15.024	355.695	322.296	-14.980
314.477	274.180	-14.845	304.646	310.421	-15.171	309.606	293.166	-15.035	335.401	315.142	-14.726	369.051	334.503	-15.059	352.605	325.940	-14.984
314.555	275.407	-14.909	302.600	311.017	-15.199	308.560	294.082	-15.058	333.010	317.612	-14.802	365.283	339.113	-15.097	349.454	329.453	-15.010
314.705	276.815	-14.920	300.650	311.701	-15.161	307.619	295.057	-15.041	330.585	320.016	-14.812	361.362	343.608	-15.104	346.204	332.894	-14.992
314.915	278.355	-14.935	298.798	312.290	-15.112	306.767	296.099	-15.078	328.154	322.404	-14.794	357.311	348.008	-15.095	342.882	336.322	-15.043
315.159	279.981	-14.827	297.061	312.915	-15.155	305.978	297.272	-15.083	325.715	324.821	-14.787	353.134	352.251	-15.171	339.495	339.655	-15.019
315.486	281.852	-14.927	295.423	313.651	-15.137	305.245	298.523	-15.075	323.274	327.201	-14.809	348.851	356.393	-15.214	336.072	342.916	-15.095
315.796	283.883	-14.828	293.862	314.386	-15.134	304.582	299.888	-15.061	320.784	329.612	-14.766	344.462	360.339	-15.227	332.563	346.074	-15.069
316.197	286.077	-14.967	292.368	315.136	-15.163	303.983	301.341	-15.110	318.307	331.992	-14.745	339.978	364.169	-15.186	329.005	349.213	-15.095
316.518	288.372	-14.898	290.978	315.945	-15.151	303.420	302.820	-15.093	315.797	334.356	-14.796	335.408	367.855	-15.170	325.408	352.211	-15.162
316.960	290.917	-14.972	289.659	316.751	-15.134	302.919	304.460	-15.173	313.284	336.678	-14.877	330.780	371.323	-15.258	321.780	355.126	-15.212
317.310	293.507	-14.985	288.443	317.606	-15.173	302.419	306.144	-15.115	310.736	338.956	-14.789	326.117	374.640	-15.299	318.086	357.863	-15.123
317.617	296.165	-14.950	287.306	318.470	-15.187	301.990	307.900	-15.145	308.205	341.202	-14.790	321.366	377.714	-15.304	314.409	360.509	-15.252
317.935	299.050	-14.943	286.249	319.346	-15.181	301.582	309.751	-15.193	305.714	343.383	-14.913	316.571	380.642	-15.280	310.687	363.054	-15.260
318.179	302.128	-14.966	285.281	320.366	-15.132	301.186	311.730	-15.181	303.210	345.549	-14.889	311.769	383.445	-15.285	306.941	365.513	-15.176
318.395	305.369	-15.034	284.400	321.475	-15.136	300.810	313.840	-15.185	300.695	347.702	-14.915	306.900	386.084	-15.369	303.233	367.848	-15.241
318.498	308.651	-15.065	283.612	322.671	-15.254	300.419	316.069	-15.185	298.213	349.876	-14.907	302.016	388.568	-15.370	299.444	370.184	-15.254
318.534	312.148	-15.017	282.826	323.871	-15.144	300.058	318.363	-15.186	295.708	351.955	-14.802	297.128	390.760	-15.340	295.737	372.252	-15.336
